id,name,sport_type,display_type,activity_type_display_name,private,bike_id,athlete_gear_id,start_date,start_date_local_raw,start_time,start_day,distance,distance_raw,long_unit,short_unit,moving_time,moving_time_raw,elapsed_time,elapsed_time_raw,trainer,static_map,has_latlng,commute,elevation_gain,elevation_unit,elevation_gain_raw,description,activity_url,activity_url_for_twitter,twitter_msg,is_new,is_changing_type,suffer_score,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,selected_tag_type,flagged,hide_power,hide_heartrate,leaderboard_opt_out,visibility,tags/0,tags/1,tags/2,tags/3
11677304011,Evening Run,Run,Run,Run,false,,,"Mon, 6/17/2024",1718655361,2024-06-18T00:16:01+0000,Mon,1.00,1621.18,miles,mi,12:17,737,12:29,749,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/MHVNX4FIXE6AIL4M56KZRU3PJEIRZGUVDA2AJVWIRTY6Q5XBPIFRDFST2HVIDLGWJ54WLDBGCPDNKEODB77P4QXQLN4PWRQOWNTQ====,true,,54,ft,16.6,,https://www.strava.com/activities/11677304011,https://www.strava.com/activities/11677304011?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 1.0 mile Run.,true,false,37,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11677242529,Evening Walk,Walk,Walk,Walk,false,,,"Mon, 6/17/2024",1718655159,2024-06-18T00:12:39+0000,Mon,0.17,274.86,miles,mi,3:14,194,3:14,194,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/U5GBZVPK4WRYRU4QHN3JD5MOASSR2WUT66OTAYAXB6KVKBBLCXXCAAG6DWAAQ7G37KEZKPJQ2QVL52X2UCKY5XAMPQ7IRIRD4GQA====,true,,0,ft,0,,https://www.strava.com/activities/11677242529,https://www.strava.com/activities/11677242529?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 0.1 mile Walk.,true,false,3,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
11677229800,Evening Run,Run,Run,Run,false,,,"Mon, 6/17/2024",1718653256,2024-06-17T23:40:56+0000,Mon,3.00,4842.75,miles,mi,30:53,1853,31:30,1890,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/VESAFBN2S6MCR22NVI4F7ZPGHFGDQ4ZQL6EVXUPWHHNVU2C25USFXIPPRDPYULDM3N2J7KTJDKAZS3EINHT2WJUT47EORA4EJDPQ====,true,,56,ft,17,,https://www.strava.com/activities/11677229800,https://www.strava.com/activities/11677229800?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 3.0 mile Run.,true,false,111,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11642333914,Morning Run,Run,Run,Run,false,,,"Thu, 6/13/2024",1718262486,2024-06-13T11:08:06+0000,Thu,3.31,5330.55,miles,mi,38:04,2284,38:54,2334,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/A4K6YQ7GAZ5TH725BY7SDGL26D5Q3HW5A6YMROO4J76RIP3KIIH46OPCM37USSF2DPH6ZZTFE7VZPSMLLUKYWCQ2WUWLPJUYP2FA====,true,,152,ft,46.2,,https://www.strava.com/activities/11642333914,https://www.strava.com/activities/11642333914?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 3.3 mile Run.,true,false,95,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11641721152,Evening Walk,Walk,Walk,Walk,false,,,"Wed, 6/12/2024",1718219232,2024-06-12T23:07:12+0000,Wed,2.79,4499.32,miles,mi,49:51,2991,1:00:57,3657,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/Y2SCTXLLZCVEYYHEGPLK24JPWDHSAJTVRBHQTI4OVLP66XXZKHFJTICTFHKMEO5N73PMP4XENT2RX5VKXG33EQGCIGXGC27GMKBQ====,true,,167,ft,51,,https://www.strava.com/activities/11641721152,https://www.strava.com/activities/11641721152?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 2.7 mile Walk.,true,false,15,false,false,false,false,false,false,false,,false,false,false,false,everyone,false,false,false,
11639104690,Evening Run,Run,Run,Run,false,,,"Wed, 6/12/2024",1718217367,2024-06-12T22:36:07+0000,Wed,3.00,4839.56,miles,mi,29:59,1799,30:13,1813,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/DHZXDVHXGL7AD4RAG2XNGRLOK4ADDXHQ66Z3SS6FELVSTO6VAF4KCBDXDCPHYORW2UBYVPNMI3LN7D3PYZHPOVYI3XERRHNBAXPA====,true,,56,ft,17,,https://www.strava.com/activities/11639104690,https://www.strava.com/activities/11639104690?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 3.0 mile Run.,true,false,117,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11490119465,Evening Run,Run,Run,Run,false,,,"Fri, 5/24/2024",1716573688,2024-05-25T01:01:28+0000,Fri,8.06,12973.8,miles,mi,1:20:35,4835,1:20:50,4850,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/CRY5CI25COHTV7F2Z3KKGTILV7EWGCLOHGFEIZ7QDMR4RUQQE2MHFNXL3N7AKCSWNUK5V3RJ6H5M2PLI7GFHY4VDJN7AYUOQOR2A====,true,,793,ft,241.6,,https://www.strava.com/activities/11490119465,https://www.strava.com/activities/11490119465?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 8.0 mile Run.,true,false,246,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11452032470,Evening Run,Run,Run,Run,false,,,"Sun, 5/19/2024",1716144558,2024-05-20T01:49:18+0000,Sun,6.22,10011.9,miles,mi,1:05:56,3956,1:06:10,3970,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/FY4ORZ5EI2H3JPQ24GH6N7Q7MENWDX4R4C736HMW3O2U3PTHDHEDRXTFDSWYPQN56JL2WHUSXPYZYIPBZIO6YVUJEAPOUVQHT23Q====,true,,761,ft,232,,https://www.strava.com/activities/11452032470,https://www.strava.com/activities/11452032470?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 6.2 mile Run.,true,false,164,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11441011932,Morning Run,Run,Run,Run,false,,,"Sat, 5/18/2024",1716022815,2024-05-18T16:00:15+0000,Sat,4.88,7857.74,miles,mi,46:09,2769,46:36,2796,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/32OORVBBNT6LOVSX5MDJBUELOMVU3H2B7CHPSD3VDLDQ2BHQ2T5VNT2TOOPQUP2574QOTATPIXR4MZ3MK6LB3TN24WGZOMGGTWHQ====,true,,295,ft,90,,https://www.strava.com/activities/11441011932,https://www.strava.com/activities/11441011932?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 4.8 mile Run.,true,false,134,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11428558521,Evening Run,Run,Run,Run,false,,,"Thu, 5/16/2024",1715882513,2024-05-17T01:01:53+0000,Thu,4.00,6446.81,miles,mi,41:20,2480,45:00,2700,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/MASYHI6UMFFUOY4J6E2UZJKVARAVKBJLLXJ7NT3DTWWWD5QQJ4UPFNCEAH4SADXATIOA644ZHSRLZA6H73IMFGMM5A5YAR4AM47A====,true,,443,ft,135,,https://www.strava.com/activities/11428558521,https://www.strava.com/activities/11428558521?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 4.0 mile Run.,true,false,100,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
11405179014,Evening Run,Run,Run,Run,false,,,"Mon, 5/13/2024",1715625717,2024-05-14T01:41:57+0000,Mon,4.08,6576.11,miles,mi,43:07,2587,43:11,2591,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/3WGJVOATMNYR6HSZN5I5EZJMUHFOTS6MCATTQ7DQ5SZBCXKFKPNWEBOLPYOTDBPUKMOIRKUWYGPONAYC6VNULL3OVBM6MIDQEXVQ====,true,,367,ft,111.8,,https://www.strava.com/activities/11405179014,https://www.strava.com/activities/11405179014?utm_content=118093999&utm_medium=referral&utm_source=twitter,went for a 4.0 mile Run.,true,false,130,false,true,false,false,false,false,false,,false,false,false,false,everyone,,,,
